,date,index
281,2021-10-01,182
282,2021-10-02,157
283,2021-10-03,157
284,2021-10-04,169
285,2021-10-05,200
286,2021-10-06,186
287,2021-10-07,182
288,2021-10-08,219
289,2021-10-09,187
290,2021-10-10,190
291,2021-10-11,208
292,2021-10-12,204
293,2021-10-13,191
294,2021-10-14,172
295,2021-10-15,183
296,2021-10-16,177
297,2021-10-17,159
298,2021-10-18,229
299,2021-10-19,180
300,2021-10-20,190
301,2021-10-21,186
302,2021-10-22,182
303,2021-10-23,180
304,2021-10-24,177
305,2021-10-25,207
306,2021-10-26,200
307,2021-10-27,182
308,2021-10-28,165
309,2021-10-29,184
310,2021-10-30,137
311,2021-10-31,140
312,2021-11-01,173
313,2021-11-02,184
314,2021-11-03,184
315,2021-11-04,155
316,2021-11-05,190
317,2021-11-06,135
318,2021-11-07,144
319,2021-11-08,188
320,2021-11-09,173
321,2021-11-10,173
322,2021-11-11,163
323,2021-11-12,168
324,2021-11-13,169
325,2021-11-14,127
326,2021-11-15,183
327,2021-11-16,193
328,2021-11-17,163
329,2021-11-18,225
330,2021-11-19,170
331,2021-11-20,121
332,2021-11-21,152
333,2021-11-22,172
334,2021-11-23,172
335,2021-11-24,172
336,2021-11-25,169
337,2021-11-26,161
338,2021-11-27,162
339,2021-11-28,120
340,2021-11-29,197
341,2021-11-30,194
342,2021-12-01,176
343,2021-12-02,177
344,2021-12-03,180
345,2021-12-04,154
346,2021-12-05,151
347,2021-12-06,193
348,2021-12-07,190
349,2021-12-08,166
350,2021-12-09,179
351,2021-12-10,168
352,2021-12-11,121
353,2021-12-12,133
354,2021-12-13,168
355,2021-12-14,162
356,2021-12-15,173
357,2021-12-16,194
358,2021-12-17,172
359,2021-12-18,133
360,2021-12-19,139
361,2021-12-20,172
362,2021-12-21,168
363,2021-12-22,175
364,2021-12-23,168
365,2021-12-24,163
366,2021-12-25,114
367,2021-12-26,123
368,2021-12-27,180
369,2021-12-28,190
370,2021-12-29,173
371,2021-12-30,169
372,2021-12-31,163
373,2022-01-01,137
374,2021-06-29,1956
375,2021-06-30,1838
376,2021-07-01,1416
377,2021-07-02,1479
378,2021-07-03,1564
379,2021-07-04,1666
380,2021-07-05,1585
381,2021-07-06,1440
382,2021-07-07,1343
383,2021-07-08,1144
384,2021-07-09,954
385,2021-07-10,956
386,2021-07-11,959
387,2021-07-12,959
388,2021-07-13,989
389,2021-07-14,994
390,2021-07-15,971
391,2021-07-16,946
392,2021-07-17,957
393,2021-07-18,1072
394,2021-07-19,976
395,2021-07-20,1418
396,2021-07-21,1680
397,2021-07-22,1626
398,2021-07-23,1209
399,2021-07-24,1383
400,2021-07-25,1414
401,2021-07-26,1130
402,2021-07-27,972
403,2021-07-28,931
404,2021-07-29,911
405,2021-07-30,917
406,2021-07-31,915
407,2021-08-01,904
408,2021-08-02,892
409,2021-08-03,885
410,2021-08-04,887
411,2021-08-05,885
412,2021-08-06,883
413,2021-08-07,882
414,2021-08-08,899
415,2021-08-09,884
416,2021-08-10,875
417,2021-08-11,888
418,2021-08-12,891
419,2021-08-13,878
420,2021-08-14,897
421,2021-08-15,911
422,2021-08-16,894
423,2021-08-17,885
424,2021-08-18,893
425,2021-08-19,917
426,2021-08-20,922
427,2021-08-21,1132
428,2021-08-22,1040
429,2021-08-23,967
430,2021-08-24,936
431,2021-08-25,936
432,2021-08-26,929
433,2021-08-27,912
434,2021-08-28,943
435,2021-08-29,935
436,2021-08-30,937
437,2021-08-31,883
438,2021-09-01,874
439,2021-09-02,861
440,2021-09-03,871
441,2021-09-04,931
442,2021-09-05,956
443,2021-09-06,911
444,2021-09-07,899
445,2021-09-08,1264
446,2021-09-09,859
447,2021-09-10,890
448,2021-09-11,906
449,2021-09-12,902
450,2021-09-13,864
451,2021-09-14,858
452,2021-09-15,859
453,2021-09-16,848
454,2021-09-17,935
455,2021-09-18,1065
456,2021-09-19,946
457,2021-09-20,950
458,2021-09-21,995
459,2021-09-22,918
460,2021-09-23,889
461,2021-09-24,910
462,2021-09-25,866
463,2021-09-26,852
464,2021-09-27,814
465,2021-09-28,1040
466,2021-09-29,877
467,2021-09-30,863
468,2021-10-01,900
469,2021-10-02,906
470,2021-10-03,885
471,2021-10-04,883
472,2021-10-05,881
473,2021-10-06,877
474,2021-10-07,748
475,2021-10-08,832
476,2021-10-09,724
477,2021-10-10,716
478,2021-10-11,712
479,2021-10-12,603
480,2021-10-13,570
481,2021-10-14,586
482,2021-10-15,747
483,2021-10-16,803
484,2021-10-17,848
485,2021-10-18,680
486,2021-10-19,600
487,2021-10-20,657
488,2021-10-21,570
489,2021-10-22,690
490,2021-10-23,777
491,2021-10-24,710
492,2021-10-25,618
493,2021-10-26,617
494,2021-10-27,549
495,2021-10-28,513
496,2021-10-29,635
497,2021-10-30,611
498,2021-10-31,620
499,2021-11-01,544
500,2021-11-02,544
501,2021-11-03,525
502,2021-11-04,582
503,2021-11-05,607
504,2021-11-06,613
505,2021-11-07,581
506,2021-11-08,528
507,2021-11-09,532
508,2021-11-10,549
509,2021-11-11,567
510,2021-11-12,600
511,2021-11-13,708
512,2021-11-14,624
513,2021-11-15,568
514,2021-11-16,650
515,2021-11-17,599
516,2021-11-18,724
517,2021-11-19,712
518,2021-11-20,811
519,2021-11-21,704
520,2021-11-22,598
521,2021-11-23,606
522,2021-11-24,577
523,2021-11-25,614
524,2021-11-26,769
525,2021-11-27,832
526,2021-11-28,726
527,2021-11-29,673
528,2021-11-30,646
529,2021-12-01,692
530,2021-12-02,531
531,2021-12-03,666
532,2021-12-04,765
533,2021-12-05,722
534,2021-12-06,660
535,2021-12-07,651
536,2021-12-08,648
